year,Agricultural Landuse,Agricultural Management,Non-Agricultural Landuse,Transition Penalty
2010,90.51190290334976,0.0,-0.10777819999999999,0.0
2011,89.37160288817678,-0.6962467,-0.40449412,0.0
2012,89.51875111297592,-0.9945337,-1.9824931000000001,0.0
2013,89.69211516087148,-1.2257785,-3.6537502,0.0
2014,89.8434814142699,-1.357436,-5.4025965,0.0
2015,89.96753191948328,-1.5316078,-7.081665,0.0
2016,90.02303063200887,-1.6303316,-8.767526,0.0
2017,89.98966055084134,-1.8002346,-10.295005,0.0
2018,89.97635500534246,-1.8953489,-11.914108,0.0
2019,90.02229603822566,-2.080433,-13.504103,0.0
2020,90.07774081019448,-2.2392497999999996,-15.129869,0.0
2021,89.93145224857729,-2.4772488,-18.228642,0.0
2022,89.83172803884311,-2.7886115,-21.300136,0.0
2023,89.63691037956794,-3.1702612,-28.354488,0.0
2024,89.49808104799887,-3.5728685,-35.44376,0.0
2025,89.36787200791723,-3.743445,-37.287572,0.0
2026,89.37028179259144,-3.9570882000000003,-39.21925,0.0
2027,89.08178526657976,-4.285023,-47.835532,0.0
2028,88.7968455172979,-4.5152575,-56.551268,0.0
2029,88.30089751427039,-4.719232,-70.868,0.0
2030,87.86470709288723,-5.8811125,-84.28834,0.0
2031,87.82814748055702,-5.8064425,-84.02698,0.0
2032,87.78855820917518,-6.0207725,-83.47857,0.0
2033,87.74571248170744,-9.1516,-84.05438,0.0
2034,87.6883033040463,-13.652092,-83.24837,0.0
2035,87.07797338790054,-15.548247,-96.46893,0.0
2036,86.30981548350968,-15.34817,-111.59312,0.0
2037,85.58027331297401,-15.197994,-127.20506,0.0
2038,84.95519766306779,-14.938209,-143.03246,0.0
2039,84.26928194110681,-14.699086,-158.33715,0.0
2040,83.54712160749085,-15.594504,-172.47443,0.0
2041,83.08822682906907,-19.581548,-184.09546,0.0
2042,82.41669082499068,-20.284328,-198.7962,0.0
2043,81.81259753126886,-20.86896,-213.6999,0.0
2044,81.09452230066344,-20.902268,-229.032,0.0
2045,80.3562128605883,-20.855536,-244.44501,0.016866408
2046,79.56987950781807,-21.255466,-259.33571,0.008044492
2047,78.67942134688896,-21.44486,-274.33005,0.0
2048,77.67981064891067,-21.317102,-289.55603,0.0
2049,76.78706754704878,-21.353636,-304.82125,0.065385156
2050,76.23306058762022,-25.982478,-315.69162,0.065385156
