Year,Crop,Livestock - modified land,Livestock - natural land
2010,14.227128074294038,54.500770613386024,21.784004215669686
2011,13.666527269094514,53.81101079052116,21.8868108917861
2012,13.67655220602864,53.7019740984996,22.121316203130302
2013,13.72536934669433,53.610255254667635,22.352655466482076
2014,13.72956242734672,53.541247426808546,22.56553879802289
2015,13.751460024948065,53.40904843575511,22.785341516795683
2016,13.779085380734127,53.2358120324684,23.001856281429127
2017,13.796051483704987,52.956930861448754,23.224409663536967
2018,13.805916650088044,52.69469246562298,23.466155510235982
2019,13.81807334337424,52.49125264939652,23.703681274863722
2020,13.841174285883685,52.29505563448916,23.93551662421648
2021,13.91807710049689,52.028155477550115,23.973896410049377
2022,13.983052146359812,51.83138196698526,24.012180342159283
2023,14.084240319778427,51.49848988136633,24.05039647507707
2024,14.168058777186452,51.24120352911018,24.088634985074005
2025,14.248251625627184,50.991093799125004,24.126862317972957
2026,14.364219622491149,50.83530786190092,24.164980500769218
2027,14.398063693734487,50.47968676016965,24.20331694256872
2028,14.462754831455324,50.087539434653955,24.245791447835423
2029,14.473977928242821,49.54200246741689,24.2841410715927
2030,14.48062602805285,49.05590831911237,24.32608430517434
2031,14.577487019702398,48.85839207243985,24.391926417043795
2032,14.64122517649938,48.7137918455079,24.430281433838495
2033,14.692821519754064,48.57673718962868,24.468512370035274
2034,14.726305854736328,48.45388141911966,24.506911215376373
2035,14.598974622621025,47.89723740749428,24.581138312481706
2036,14.554386473691075,47.113383586864515,24.641849813593673
2037,14.456619002134588,46.41993696580307,24.70351590222145
2038,14.392766367780961,45.78635288222722,24.774794584198652
2039,14.302926560252226,45.08979525410798,24.874832016067117
2040,14.186556961219967,44.35865327160881,24.999412874865474
2041,14.160742374014154,43.803757521502924,25.12341623886728
2042,14.030213407165181,43.1067566882404,25.279437330451213
2043,13.93227132154071,42.27759904378085,25.60221487620472
2044,13.718531364958983,41.44432841994584,25.931431020098874
2045,13.48062202791377,40.50615240517075,26.368174075618768
2046,13.224725438058968,39.5042143709568,26.840335343845283
2047,12.82839334615669,38.49112403309521,27.359059788073033
2048,12.367155306619022,37.27327199760525,28.03430055217796
2049,11.927181411084186,35.98956888916927,28.856957978974293
2050,11.783448577464357,34.77499144047292,29.674592652679124
