Year,CH4,CO2,N2O
2010,57.741578064466474,30.021708951949996,2.7486158869332664
2011,57.31790361541734,29.438994336236313,2.6074509997480972
2012,57.41819875929068,29.45392636978299,2.6277173785848675
2013,57.5559813346047,29.476880410031903,2.655418323207447
2014,57.690537055844615,29.47991069610746,2.6659009002260565
2015,57.79355705896635,29.471447244806065,2.68084567372641
2016,57.85268626431714,29.45388930858774,2.7101781217267833
2017,57.83216910757096,29.425112096606895,2.720110804512837
2018,57.842964606658605,29.39330573293151,2.730494286356883
2019,57.877620237069415,29.393121695886784,2.7422653346782955
2020,57.93302355380487,29.386191261365287,2.7525317294191947
2021,57.74496023403307,29.38377029303504,2.7913984610282534
2022,57.602493851895105,29.393746779908927,2.830373823700334
2023,57.36286808354408,29.37809844450314,2.892160148174592
2024,57.14620669479851,29.404356734572957,2.9473338619992018
2025,56.987287037445554,29.400043152977027,2.9788775523025626
2026,56.87300744339991,29.460178714881614,3.031321826879749
2027,56.59064208421401,29.44547522151226,3.044950090746571
2028,56.32765314753883,29.39562097865247,3.072811587753401
2029,55.87584331257303,29.322947088932914,3.101331065746464
2030,55.48384623741506,29.28008022192306,3.09869219300143
2031,55.371533160832655,29.34624595775356,3.110026390599804
2032,55.280081823813546,29.37947377209354,3.125742859938697
2033,55.1861454093224,29.415099783597746,3.1368258864978134
2034,55.073516555756825,29.45676149775292,3.1568204357226133
2035,54.64944333043645,29.312930994434563,3.114976017725973
2036,54.04319949410998,29.15978742279448,3.106632957244753
2037,53.47660299636904,29.032647932727407,3.070820941062642
2038,52.97523678688846,28.910384027310556,3.0682930200078053
2039,52.46057977899561,28.746641421287094,3.0603326301445946
2040,51.903098523000466,28.592893936147032,3.0486306485467445
2041,51.50204951658819,28.534988932404282,3.0508776853918746
2042,51.0024367581684,28.377116158989953,3.036854508698429
2043,50.52248959400687,28.263218702092423,3.0263769454269687
2044,50.034591564354606,28.08212603541692,2.977573205232167
2045,49.530960855262066,27.878638033556804,2.9453496198843854
2046,48.96415671332875,27.683304300808047,2.9218141387242444
2047,48.43664691662408,27.363008547135138,2.878921703565748
2048,47.87865679679797,26.978211613102154,2.817859446502073
2049,47.385250367111986,26.62734105079263,2.7611168613231434
2050,47.04244398229281,26.448730880274272,2.7418578080493283
