Year,Asparagopsis taxiformis,Ecological Grazing,Precision Agriculture
2010,0.0,,
2011,0.0,19590.843813476564,3253.42525390625
2012,0.0,25646.3794921875,3177.726318359375
2013,0.0,30813.925175781253,3427.133798828125
2014,0.0,34045.71146484375,3439.578115234375
2015,0.0,38329.43021484375,3529.507373046875
2016,0.0,40641.70783203125,3656.395166015625
2017,0.0,45005.07158203125,3751.993950195312
2018,0.0,47491.34408203125,3582.313076171875
2019,0.0,52665.07408203125,3522.79203125
2020,0.0,57038.749082031245,3565.08001953125
2021,0.0,63318.118535156245,3795.9062451171876
2022,0.0,71986.08603515624,4056.4789794921876
2023,0.0,82754.12593750001,4598.428666992188
2024,0.0,94734.21109375,4862.807885742188
2025,0.0,100166.61109374999,5097.257788085937
2026,0.0,106614.82859374999,5235.880170898437
2027,0.0,116157.89476562501,5779.2545703125
2028,0.0,122412.14949218751,7604.7491796875
2029,0.0,129171.12359375,8538.44083984375
2030,39599.9391015625,132879.11179687502,9908.68306640625
2031,39175.798496093754,131761.5778125,9631.616396484374
2032,42905.43248046875,130683.1008984375,9594.631708984374
2033,119192.22591796875,130184.34671874999,10485.218447265624
2034,244211.9280078125,127236.91589843751,10640.953642578124
2035,254022.5959375,140619.2994921875,18374.382353515626
2036,244454.9121875,141439.3949609375,20358.283623046875
2037,234289.20671875,141078.4960546875,25494.594121093753
2038,228434.51890625,138735.1690625,26344.832900390626
2039,219348.1171875,131894.56609375,27464.254460449218
2040,263055.95625,127069.05203125,31311.084814453123
2041,475694.4478125,122869.11734375,31762.91794921875
2042,473935.37453125,118122.0440625,34871.1197265625
2043,476791.383125,109020.98265625001,37819.14177734375
2044,472922.89374999993,101596.42875,49620.3273046875
2045,473466.48343749996,94439.8890625,63423.612302246096
2046,479426.91875,86439.5525,84556.8459765625
2047,476474.62374999997,80141.283125,118794.85960937501
2048,470478.25812500005,69807.2525,151222.2637792969
2049,474285.193125,64054.6475,186933.8592138672
2050,595970.4275,57517.365,211491.84404785154
