year,Crop,Livestock
2010,36.0221502784734,24.75449623857335
2011,32.19486075411488,24.48334868916904
2012,32.51263088510867,24.36988018309086
2013,32.81364159785645,24.260122185568733
2014,33.102583473807464,24.14881639587769
2015,33.41255793583546,24.03925377187423
2016,33.72430253016701,23.93029041027425
2017,34.02407318894533,23.831436062149713
2018,34.340525990093646,23.732361871759213
2019,34.654603655152016,23.63622888656963
2020,34.973941361074736,23.543446793836722
2021,35.27094479070038,23.45682073134366
2022,35.557272487814195,23.374020931950668
2023,35.84198409766018,23.290142446186007
2024,36.04026813909516,23.216099181602235
2025,36.42487129876822,23.13186458896355
2026,36.7024158981064,23.054748724713264
2027,36.97671124150351,22.969581976602736
2028,37.150524737912065,22.886495321108765
2029,37.38193976085514,22.794749636927023
2030,37.60051855771613,22.718131957498315
2031,37.887917347224075,22.64937793384923
2032,38.08094396655345,22.540316455333198
2033,38.27562140976791,22.433503141348574
2034,38.4730094412688,22.321832387249398
2035,38.39763869961253,22.21931200981973
2036,38.54504984369818,22.11539576953682
2037,38.620432515366055,22.00081139735283
2038,38.78714095901783,21.90568296513507
2039,38.91980502241215,21.80155990144579
2040,38.95750087795137,21.70843342347426
2041,39.12494859085748,21.61122003661616
2042,39.18640967304484,21.52008848042817
2043,39.28856023904005,21.40602794831243
2044,39.21635040233768,21.30982104398819
2045,38.93414347326995,21.2021686004687
2046,38.839073618797855,21.092028197727174
2047,38.36854941916397,20.988803256455117
2048,38.116373092692754,20.88074502129318
2049,37.78337804456071,20.796584652700954
2050,37.62684562678775,20.708972382958148
